name,description,category,subcategory,url
rlTORCS,Modified TORCS for deep reinforcement learning with visual observation,Autonomous Racing,,https://github.com/YurongYou/rlTORCS
MultiAgentTORCS,Multi-agent TORCS for developing autonomous driving algorithms,Autonomous Racing,,https://github.com/abhisheknaik96/MultiAgentTORCS
Carla-Dataset-Generator,Generate training datasets for autonomous driving from CARLA,Autonomous Racing,,https://github.com/Daniel-ChenJH/Carla-Dataset-Generator
DriveLM,Driving with Graph Visual Question Answering (ECCV 2024),Autonomous Racing,,https://github.com/OpenDriveLab/DriveLM
sumo-rl,Reinforcement learning environments for traffic signal control with SUMO,Autonomous Racing,,https://github.com/LucasAlegre/sumo-rl
OpenFFBoard,Open source universal force feedback interface for DIY steering wheels,Hardware & Force Feedback,,https://github.com/Ultrawipf/OpenFFBoard
oversteer,Steering wheel manager and FFB configurator for GNU/Linux,Hardware & Force Feedback,,https://github.com/berarma/oversteer
new-lg4ff,Improved Linux kernel module for Logitech racing wheels,Hardware & Force Feedback,,https://github.com/berarma/new-lg4ff
ffbtools,Force feedback testing and debugging tools for GNU/Linux,Hardware & Force Feedback,,https://github.com/berarma/ffbtools
hid-fanatecff,Linux kernel driver for Fanatec wheel bases,Hardware & Force Feedback,,https://github.com/gotzl/hid-fanatecff
hid-tmff2,Linux kernel driver for Thrustmaster T300/T248/TS-XW wheels,Hardware & Force Feedback,,https://github.com/Kimplul/hid-tmff2
CrewChiefV4,Race engineer and spotter voice application for sim racing,Hardware & Force Feedback,,https://github.com/mrbelowski/CrewChiefV4
crew-chief-autovoicepack,Generate CrewChief voice packs using AI speech synthesis,Hardware & Force Feedback,,https://github.com/cktlco/crew-chief-autovoicepack
AC-Telemetry,Customizable Python telemetry toolkit for Assetto Corsa,Game Tools,Assetto Corsa,https://github.com/alvaro-cs02/AC-Telemetry
ac-traces,Real-time driver input telemetry app for Assetto Corsa,Game Tools,Assetto Corsa,https://github.com/frits-z/ac-traces
acc-hotlap-run,ACC hotlap telemetry viewer and analysis tool,Game Tools,Assetto Corsa,https://github.com/JonathanBurgworx/acc-hotlap-run
BeamNG.gym,Reinforcement learning environment for BeamNG.tech,Game Tools,BeamNG,https://github.com/BeamNG/BeamNG.gym
Blender-JBeam-Editor,Blender plugin to import/modify/export JBeam for BeamNG,Game Tools,BeamNG,https://github.com/BeamNG/Blender-JBeam-Editor
dirt-rally-time-recorder,Stage time tracker and browser for DiRT Rally 1 and 2,Game Tools,DiRT Rally,https://github.com/soong-construction/dirt-rally-time-recorder
f1-24-telemetry,Python telemetry implementation for EA F1 24 game,Game Tools,F1 Game,https://github.com/xavierdubuc/f1-24-telemetry
f1-circuits,Formula 1 circuits in GeoJSON format,Datasets & Research,,https://github.com/bacinger/f1-circuits
procedural-tracks,Procedural race track generation in Python,Track Tools,,https://github.com/juangallostra/procedural-tracks
circuit-generator,Random generator of racing circuit layouts,Track Tools,,https://github.com/adriantormos/circuit-generator
